Damage,GammaDist,Probability,Percentile,DPS,Damage,Normal,Percentile
5667466,3.45099E-06,3.45099E-06,0.275461606,11916.45,5667466,3.42006E-06,0.274253118
5668440,3.4712E-06,3.4712E-06,0.278833853,11918.5,5668440,3.44047E-06,0.277595325
5669414,3.49117E-06,3.49117E-06,0.282225674,11920.55,5669414,3.46066E-06,0.280957309
5670389,3.5109E-06,3.5109E-06,0.285636837,11922.6,5670389,3.48061E-06,0.284338849
5671363,3.53038E-06,3.53038E-06,0.2890671,11924.65,5671363,3.50033E-06,0.287739719
5672337,3.54961E-06,3.54961E-06,0.29251622,11926.7,5672337,3.51981E-06,0.291159687
5673312,3.56857E-06,3.56857E-06,0.295983947,11928.75,5673312,3.53905E-06,0.294598516
5674286,3.58728E-06,3.58728E-06,0.299470026,11930.79,5674286,3.55803E-06,0.298055965
5675260,3.60571E-06,3.60571E-06,0.302974197,11932.84,5675260,3.57676E-06,0.301531788
5676234,3.62387E-06,3.62387E-06,0.306496196,11934.89,5676234,3.59523E-06,0.305025731
5677209,3.64175E-06,3.64175E-06,0.310035753,11936.94,5677209,3.61343E-06,0.308537539
5678183,3.65935E-06,3.65935E-06,0.313592595,11938.99,5678183,3.63136E-06,0.312066949
5679157,3.67666E-06,3.67666E-06,0.317166442,11941.04,5679157,3.64902E-06,0.315613697
5680132,3.69367E-06,3.69367E-06,0.32075701,11943.09,5680132,3.66639E-06,0.319177509
5681106,3.71039E-06,3.71039E-06,0.324364011,11945.13,5681106,3.68348E-06,0.32275811
5682080,3.7268E-06,3.7268E-06,0.327987153,11947.18,5682080,3.70028E-06,0.32635522
5683055,3.74291E-06,3.74291E-06,0.331626137,11949.23,5683055,3.71678E-06,0.329968554
5684029,3.7587E-06,3.7587E-06,0.335280664,11951.28,5684029,3.73299E-06,0.333597821
5685003,3.77418E-06,3.77418E-06,0.338950425,11953.33,5685003,3.74888E-06,0.337242727
5685978,3.78934E-06,3.78934E-06,0.342635112,11955.38,5685978,3.76447E-06,0.340902974
5686952,3.80417E-06,3.80417E-06,0.346334409,11957.43,5686952,3.77975E-06,0.344578258
5687926,3.81868E-06,3.81868E-06,0.350047999,11959.48,5687926,3.79471E-06,0.348268274
5688901,3.83285E-06,3.83285E-06,0.353775559,11961.52,5688901,3.80935E-06,0.351972708
5689875,3.84668E-06,3.84668E-06,0.357516761,11963.57,5689875,3.82366E-06,0.355691245
5690849,3.86018E-06,3.86018E-06,0.361271277,11965.62,5690849,3.83764E-06,0.359423567
5691824,3.87332E-06,3.87332E-06,0.365038772,11967.67,5691824,3.85129E-06,0.363169349
5692798,3.88612E-06,3.88612E-06,0.368818908,11969.72,5692798,3.8646E-06,0.366928264
5693772,3.89857E-06,3.89857E-06,0.372611345,11971.77,5693772,3.87757E-06,0.370699981
5694747,3.91067E-06,3.91067E-06,0.376415737,11973.82,5694747,3.89019E-06,0.374484165
5695721,3.9224E-06,3.9224E-06,0.380231736,11975.86,5695721,3.90246E-06,0.378280478
5696695,3.93377E-06,3.93377E-06,0.384058991,11977.91,5696695,3.91438E-06,0.382088578
5697670,3.94478E-06,3.94478E-06,0.387897148,11979.96,5697670,3.92595E-06,0.385908119
5698644,3.95541E-06,3.95541E-06,0.391745848,11982.01,5698644,3.93715E-06,0.389738752
5699618,3.96568E-06,3.96568E-06,0.395604732,11984.06,5699618,3.948E-06,0.393580127
5700593,3.97557E-06,3.97557E-06,0.399473436,11986.11,5700593,3.95847E-06,0.397431887
5701567,3.98508E-06,3.98508E-06,0.403351594,11988.16,5701567,3.96858E-06,0.401293674
5702541,3.99422E-06,3.99422E-06,0.407238836,11990.2,5702541,3.97831E-06,0.405165128
5703516,4.00297E-06,4.00297E-06,0.411134791,11992.25,5703516,3.98767E-06,0.409045885
5704490,4.01133E-06,4.01133E-06,0.415039085,11994.3,5704490,3.99666E-06,0.412935577
5705464,4.01931E-06,4.01931E-06,0.418951342,11996.35,5705464,4.00526E-06,0.416833837
